word,group,fit,lwr,upr,word_caps,nLangs,nRegions,cardinal,topCardinal,fitProp_fit,fitProp_lwr,fitProp_upr,obs,obs_OR,myvar
beside,consonant,-0.048755368779642,-0.164456694722393,0.070195035877637,BESIDE,153,6,ʎçɽmɲzsxvpɟṇŋɬṃhṛʔtἠ,ʎ,0.509223270911323,0.486335366275177,0.532380124126849,0.521006341807493,-0.037015658827496,vowelConsonant
between,consonant,0.037104766845506,-0.092578763633051,0.173509151309207,BETWEEN,111,6,glfrxtŋnɟ,t,0.524222869025899,0.500270044419761,0.549932413341868,0.532909726923699,0.031879726820789,vowelConsonant
big,consonant,-0.027894523277048,-0.122955957073208,0.067925437368218,BIG,241,6,zfsçʎɣɲtnṇmɦɽhŋṃkṛjἠʔ,z,0.512843069685117,0.493944340228289,0.532524236084922,0.517898504465543,-0.054977549978084,vowelConsonant
bird,consonant,0.04287660381152,-0.060410061451645,0.147607759111232,BIRD,220,6,çzfcɟdsɣgɲtʎpʔɬbɦ,t,0.525448976703984,0.505104133106089,0.545888271520222,0.53137958295764,0.02301294791902,vowelConsonant
bite,consonant,0.119180509658948,0.019010593107444,0.216319263636755,BITE,228,6,çɟkʔɦxgfzɬdtsɽcl,k,0.53839723679615,0.518510969104015,0.557954719517966,0.541466223895139,0.081533301327021,vowelConsonant
bitter,consonant,0.023523309739559,-0.08042131364608,0.129374230859267,BITTER,191,6,ɽxfdczŋɲgskʔɟɬrɦh,k,0.521830267554359,0.500997114061989,0.542684676775311,0.541567356680697,0.082120968114903,vowelConsonant
black,consonant,0.136325378598633,0.039287063525317,0.235153457992905,BLACK,238,6,ɟsldmrçŋɦkɽgpɬb,k,0.541355977498413,0.521656182122403,0.560392104101407,0.545823918877509,0.106873850482259,vowelConsonant
blood,consonant,0.009505577134791,-0.089612066625796,0.105758600226244,BLOOD,234,6,ɦɬvʎldxŋʔçmsɲp,s,0.519228608256872,0.499903437556759,0.539422485156135,0.53469260166961,0.042215551684082,vowelConsonant
blow,consonant,0.009582184317995,-0.089552876840145,0.112720594037156,BLOW,213,6,fphɟbxɬɣvç,p,0.519614909414752,0.499645774445286,0.539816921976311,0.524432966960081,-0.017200366928305,vowelConsonant
blue,consonant,0.092030991185877,-0.021495880098091,0.203210367886303,BLUE,176,6,ɬɦçzslrxɣbkv,s,0.53357971375332,0.512090157377704,0.554756361100859,0.542666406972946,0.088508671227586,vowelConsonant
blunt,consonant,0.220732196288427,0.105780967272099,0.335796677449515,BLUNT,165,6,btmɣɦdlchʎɟzfp,t,0.555964209337478,0.533795946231786,0.577253515824082,0.567018945439645,0.230783002544035,vowelConsonant
