"word","a","ã","ɑ","ɒ","e","ẽ","ə","ᶕ","ɤ","i","ĩ","ɨ","ᶖ","o","õ","ø","ⱺ","ɵ","u","ũ","ʉ","ᶙ","ɯ","ᶌ","ⱳ","y","ỹ"
"MM_ms",0.401613670679949,0.0147085251111172,0.0164931415707397,0.00468340639877018,0.112984970697874,0.00760729682188129,0.00749361550870859,0.001,0.00316437444745213,0.173480664242292,0.00316437444745213,0.00696195432574724,0.001,0.105087481050077,0.00772147030140631,0.001,0.001,0.001,0.107632597818063,0.0032785479269771,0.001,0.001,0.0114048767001764,0.001,0.001,0.00251903195131806,0.001
"MoB_fs",0.402685386007826,0.00924695516078664,0.0142383812345413,0.00883138655424576,0.07308590591612,0.00748878028695962,0.0221823766517786,0.001,0.00312555158740814,0.174829019731197,0.00211883855607171,0.0130083838302467,0.00323767711214343,0.128580056628149,0.00547535422428681,0.00249178474142895,0.001,0.001,0.111288184255022,0.00361062329750066,0.001,0.001,0.00547535422428684,0.001,0.001,0.001,0.001
"MoB_ms",0.410263536419225,0.00928410360745685,0.0156838874802946,0.00886666307025588,0.0734106172040305,0.00751800902699097,0.0222777927628226,0.001,0.00313512614410818,0.173476907189482,0.00212387836938735,0.0130624756493019,0.0032477567387747,0.12038897580215,0.00549551347754936,0.00249850449251647,0.001,0.001,0.111148356226201,0.00362238286190382,0.001,0.001,0.00549551347754939,0.001,0.001,0.001,0.001
"moon",0.345843669499905,0.0110850639147237,0.0243205447261505,0.00230920853328803,0.137315759969423,0.00383121699862686,0.0155446893447148,0.001,0.00928085106382969,0.174658865854916,0.00489292337311193,0.0136692374117013,0.001,0.126524267776504,0.00241560849931343,0.00312341274897015,0.001,0.001,0.101116847156751,0.00372481703260146,0.001,0.001,0.00666243399725366,0.001,0.001,0.00468058209821491,0.001
"mountain",0.299565973238707,0.013862204479929,0.0137510756265247,0.00532444444444444,0.109665318252384,0.00247852443261625,0.0163384933836031,0.001,0.001,0.153096733939529,0.0108689110667553,0.0144540932948916,0.0038459200118282,0.143634656612701,0.001,0.001,0.001,0.001,0.192829922377467,0.001,0.001,0.001,0.0046963110815406,0.00210889332446219,0.001,0.00247852443261625,0.001
"mouth",0.385246549635771,0.00231480344154995,0.0147891624159088,0.0037364615498348,0.094438489727911,0.00302563249569238,0.0280812051111453,0.001,0.001,0.146185463017799,0.00302563249569238,0.0261624272821879,0.001,0.140621147611168,0.00789458120795441,0.001,0.001,0.00515811965811964,0.112672867126959,0.00515811965811965,0.00206624358121364,0.001,0.00942309398297417,0.001,0.001,0.001,0.001
"MoZ_fs",0.389026920745235,0.0223295584995811,0.0165552694266044,0.00431778239720904,0.122771027892402,0.00345594820721252,0.0221571916615818,0.001,0.0118151813816236,0.162553344827739,0.00358550256998956,0.0321110973217642,0.001,0.106410724073689,0.00862695334719154,0.001,0.001,0.001,0.0748197412232035,0.00530917094998259,0.001,0.001,0.00229275128499478,0.001,0.001,0.00186183418999652,0.001
"MoZ_ms",0.389026920745235,0.0223295584995811,0.0165552694266044,0.00431778239720904,0.125356530462391,0.00345594820721252,0.0221571916615818,0.001,0.0118151813816236,0.164277013207732,0.00358550256998956,0.0321110973217642,0.001,0.102101553123706,0.00862695334719154,0.001,0.001,0.001,0.0748197412232035,0.00530917094998259,0.001,0.001,0.00229275128499478,0.001,0.001,0.00186183418999652,0.001
"MyB_fs",0.407570739366878,0.00924695516078664,0.0146483803693061,0.00883138655424576,0.0793514018301217,0.00748878028695962,0.0221823766517786,0.001,0.00312555158740814,0.171360861876503,0.00211883855607171,0.0130083838302467,0.00323767711214343,0.127908753494506,0.00547535422428681,0.00249178474142895,0.001,0.001,0.103866796835541,0.00361062329750066,0.001,0.001,0.00547535422428684,0.001,0.001,0.001,0.001
"MyB_ms",0.415170895874489,0.00928410360745685,0.0160957334580088,0.00886666307025588,0.0797043360725997,0.00751800902699097,0.0222777927628226,0.001,0.00313512614410818,0.169993127002109,0.00212387836938735,0.0130624756493019,0.0032477567387747,0.119714648780517,0.00549551347754936,0.00249850449251647,0.001,0.001,0.103693539133659,0.00362238286190382,0.001,0.001,0.00549551347754939,0.001,0.001,0.001,0.001
